top,bottom,geology,spt,cu
0,0.2,FILL,0,
0.2,1.6,FILL,0,
1.6,4,E,0,17
4,10.5,E,0,33
10.5,13.5,S,31,66
13.5,15,S,100,
15,18,S,100,
18,21,S,100,
21,21.5,S,100,
21.5,32.5,S,100,
32.5,36,S,100,
36,36.22,S,100,
