top,bottom,geology,spt,cu
0,2.3,FILL,0,0
2.3,5.1,E,0,13
5.1,8,E,0,11
8,9,E,0,11
9,12,E,0,11
12,13,E,0,18
13,13.5,E,2,18
13.5,16.5,S,91,0
16.5,25.2,S,91,0
25.2,26.9,S,91,0
26.9,36,S,91,0
36,40,S,91,0
